CAMEO_Code,Country/Territory,Region,C/T,Edition,Status,PR rating,CL rating,A1,A2,A3,A,B1,B2,B3,B4,B,C1,C2,C3,C,Add Q,Add A,PR,D1,D2,D3,D4,D,E1,E2,E3,E,F1,F2,F3,F4,F,G1,G2,G3,G4,G,CL,Total
ETH,Ethiopia,Africa,c,2018,NF,7,6,0,0,1,1,0,0,0,0,0,0,2,1,3,0,,4,0,2,0,0,2,0,0,0,0,1,0,0,1,2,1,1,1,1,4,8,12
FJI,Fiji,Asia,c,2018,PF,3,3,3,2,3,8,3,1,2,3,9,3,2,2,7,0,,24,2,4,3,3,12,2,2,2,6,2,1,2,2,7,3,3,2,2,10,35,59
FIN,Finland,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,,40,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,100
FRA,France,Europe,c,2018,F,1,2,4,4,4,12,4,4,4,3,15,4,3,4,11,0,,38,4,3,4,3,14,3,4,4,11,4,3,3,3,13,4,4,3,3,14,52,90
GAB,Gabon,Africa,c,2018,NF,7,5,0,0,0,0,1,0,0,1,2,0,1,1,2,0,,4,1,3,2,2,8,1,1,1,3,0,1,1,1,3,2,1,1,1,5,19,23
GEO,Georgia,Eurasia,c,2018,PF,3,3,3,3,3,9,3,3,2,2,10,2,2,3,7,0,,26,2,2,4,3,11,3,3,2,8,2,2,2,2,8,3,3,3,2,11,38,64
DEU,Germany,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,3,15,4,4,4,12,0,,39,4,3,4,3,14,4,4,4,12,4,4,3,3,14,4,4,4,3,15,55,94
GHA,Ghana,Africa,c,2018,F,1,2,4,4,4,12,4,4,4,3,15,4,3,3,10,0,,37,3,3,4,4,14,4,4,3,11,2,3,3,3,11,3,3,2,2,10,46,83
GRC,Greece,Europe,c,2018,F,2,2,4,4,4,12,4,4,4,3,15,3,2,3,8,0,,35,3,3,4,4,14,4,4,4,12,3,3,3,2,11,4,3,3,3,13,50,85
GRD,Grenada,Americas,c,2018,F,1,2,4,4,3,11,4,4,4,4,16,4,3,3,10,0,,37,3,4,4,4,15,4,4,3,11,3,3,3,3,12,4,3,3,3,13,51,88
GTM,Guatemala,Americas,c,2018,PF,4,4,3,3,2,8,3,3,2,2,10,2,2,1,5,0,,23,2,4,3,3,12,2,2,2,6,2,2,2,1,7,3,2,2,1,8,33,56
GIN,Guinea,Africa,c,2018,PF,5,5,3,1,2,6,2,2,2,2,8,1,1,1,3,0,,17,1,3,3,3,10,1,2,2,5,1,1,1,1,4,1,2,1,1,5,24,41
GNB,Guinea-Bissau,Africa,c,2018,PF,5,5,2,3,2,7,3,2,1,2,8,1,0,0,1,0,,16,1,3,3,3,10,1,2,3,6,1,0,1,2,4,2,1,1,1,5,25,41
GUY,Guyana,Americas,c,2018,F,2,3,4,4,3,11,4,4,3,2,13,4,2,2,8,0,,32,3,4,4,4,15,3,4,3,10,2,2,2,2,8,3,2,2,2,9,42,74
HTI,Haiti,Americas,c,2018,PF,5,5,2,1,2,5,2,1,2,2,7,2,1,2,5,0,,17,2,3,2,3,10,2,1,1,4,1,1,1,1,4,2,2,2,0,6,24,41
HND,Honduras,Americas,c,2018,PF,4,4,2,3,2,7,3,2,1,2,8,2,2,1,5,0,,20,1,4,2,2,9,1,1,2,4,1,2,1,1,5,2,2,2,2,8,26,46
HUN,Hungary,Europe,c,2018,F,3,2,3,3,3,9,3,3,3,3,12,3,2,2,7,0,,28,2,4,2,3,11,4,2,4,10,2,3,3,2,10,4,3,3,3,13,44,72
ISL,Iceland,Europe,c,2018,F,1,1,4,4,4,12,4,4,3,4,15,4,3,3,10,0,,37,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,4,16,58,95
IND,India,Asia,c,2018,F,2,3,4,4,4,12,4,4,3,3,14,4,2,3,9,0,,35,3,3,3,4,13,4,3,3,10,3,2,2,2,9,3,3,2,2,10,42,77
IDN,Indonesia,Asia,c,2018,PF,2,4,4,4,3,11,4,4,3,2,13,3,1,2,6,0,,30,3,1,4,4,12,2,3,3,8,2,1,1,1,5,3,2,2,2,9,34,64
IRN,Iran,Middle East,c,2018,NF,6,6,1,1,1,3,0,1,0,1,2,1,0,1,2,0,,7,1,0,1,1,3,0,0,1,1,1,1,0,1,3,1,1,1,1,4,11,18
IRQ,Iraq,Middle East,c,2018,NF,5,6,2,3,3,8,3,2,1,1,7,1,0,1,2,1,,16,1,1,1,2,5,2,2,2,6,0,0,0,0,0,1,1,1,1,4,15,31
IRL,Ireland,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,3,4,11,0,,39,4,4,4,4,16,4,4,4,12,4,4,3,3,14,4,4,3,4,15,57,96
ISR,Israel,Middle East,c,2018,F,1,3,4,4,4,12,3,4,4,3,14,4,3,3,10,0,,36,3,3,3,3,12,3,2,4,9,4,3,2,2,11,3,3,3,2,11,43,79
ITA,Italy,Europe,c,2018,F,1,1,4,4,4,12,4,4,3,3,14,4,3,3,10,0,,36,3,4,4,4,15,4,4,4,12,3,3,3,3,12,4,3,4,3,14,53,89
JAM,Jamaica,Americas,c,2018,F,2,3,4,4,4,12,4,4,2,3,13,4,3,2,9,0,,34,4,4,4,3,15,3,3,3,9,3,2,2,1,8,3,3,2,3,11,43,77
JPN,Japan,Asia,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,,40,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,4,3,3,14,56,96
JOR,Jordan,Middle East,c,2018,PF,5,5,0,1,2,3,2,1,1,2,6,0,2,1,3,0,,12,1,2,2,2,7,1,1,1,3,2,1,2,2,7,2,2,2,2,8,25,37
KAZ,Kazakhstan,Eurasia,c,2018,NF,7,5,0,0,1,1,1,0,1,1,3,0,1,0,1,0,,5,0,1,2,1,4,0,1,0,1,1,1,1,1,4,2,2,2,2,8,17,22
KEN,Kenya,Africa,c,2018,PF,4,4,1,3,2,6,2,2,2,2,8,2,1,2,5,0,,19,2,2,3,3,10,2,2,3,7,2,1,1,1,5,2,1,2,2,7,29,48
KIR,Kiribati,Asia,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,,38,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,3,3,3,13,55,93
KWT,Kuwait,Middle East,c,2018,PF,5,5,0,1,1,2,2,2,2,1,7,1,1,2,4,0,,13,1,2,2,1,6,1,2,1,4,1,2,2,2,7,2,1,2,1,6,23,36
KGZ,Kyrgyzstan,Eurasia,c,2018,PF,5,5,1,2,1,4,2,1,1,1,5,1,1,2,4,1,,12,2,2,3,3,10,1,1,2,4,1,1,1,1,4,2,2,2,1,7,25,37
LAO,Laos,Asia,c,2018,NF,7,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,1,0,2,1,1,4,0,0,0,0,0,0,1,1,2,1,1,2,1,5,11,12
LVA,Latvia,Europe,c,2018,F,2,2,4,4,4,12,4,4,3,3,14,3,3,3,9,0,,35,3,4,4,4,15,4,4,4,12,3,3,3,3,12,4,4,3,2,13,52,87
LBN,Lebanon,Middle East,c,2018,PF,6,4,0,1,2,3,3,1,1,2,7,0,0,1,1,0,,11,3,3,3,3,12,3,3,2,8,1,1,2,1,5,2,2,2,1,7,32,43
LSO,Lesotho,Africa,c,2018,PF,3,3,3,4,3,10,3,3,2,3,11,2,2,2,6,0,,27,2,4,3,3,12,2,3,2,7,3,2,2,2,9,3,2,2,2,9,37,64
LBR,Liberia,Africa,c,2018,PF,3,3,3,3,2,8,3,3,3,3,12,3,2,2,7,0,,27,2,3,3,3,11,3,3,2,8,2,1,2,2,7,3,2,2,2,9,35,62
LBY,Libya,Africa,c,2018,NF,7,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,1,1,1,1,1,4,1,1,0,2,0,0,0,0,0,0,1,1,0,2,8,9
LIE,Liechtenstein,Europe,c,2018,F,2,1,2,4,4,10,4,3,3,3,13,2,4,4,10,0,,33,4,4,4,4,16,4,4,4,12,3,4,4,3,14,4,4,3,4,15,57,90
LTU,Lithuania,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,,38,4,4,4,4,16,4,4,3,11,3,3,3,3,12,4,4,3,3,14,53,91
LUX,Luxembourg,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,,38,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,98
MDG,Madagascar,Africa,c,2018,PF,3,4,3,3,3,9,3,3,2,2,10,2,1,2,5,0,,24,2,2,3,3,10,2,3,3,8,1,1,2,2,6,3,2,2,1,8,32,56
MWI,Malawi,Africa,c,2018,PF,3,3,3,3,2,8,3,3,3,3,12,3,1,2,6,0,,26,3,4,3,3,13,3,2,3,8,3,2,2,2,9,2,2,1,2,7,37,63
MYS,Malaysia,Asia,c,2018,PF,4,4,2,2,2,6,2,2,2,1,7,2,1,2,5,0,,18,2,1,2,2,7,2,2,2,6,1,2,1,1,5,3,3,2,1,9,27,45
MDV,Maldives,Asia,c,2018,PF,5,5,2,2,1,5,2,1,1,1,5,2,1,1,4,0,,14,1,0,1,1,3,1,2,2,5,1,1,2,2,6,2,2,1,2,7,21,35
MLI,Mali,Africa,c,2018,PF,5,4,2,2,2,6,2,2,1,2,7,2,1,1,4,0,,17,2,3,3,3,11,2,2,2,6,2,2,1,1,6,1,1,1,1,4,27,44
MLT,Malta,Europe,c,2018,F,1,1,4,4,4,12,3,4,3,4,14,4,3,3,10,0,,36,3,4,4,4,15,4,4,4,12,4,4,4,3,15,4,4,3,3,14,56,92
MHL,Marshall Islands,Asia,c,2018,F,1,1,4,4,4,12,3,4,4,4,15,4,3,3,10,0,,37,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,3,3,3,13,55,92
MRT,Mauritania,Africa,c,2018,NF,6,5,1,1,1,3,1,1,0,0,2,1,2,1,4,0,,9,2,2,3,2,9,1,1,2,4,1,1,1,1,4,1,2,1,0,4,21,30
MUS,Mauritius,Africa,c,2018,F,1,2,4,4,4,12,4,4,4,3,15,4,3,3,10,0,,37,3,4,4,4,15,4,4,4,12,3,4,3,3,13,4,3,3,2,12,52,89
MEX,Mexico,Americas,c,2018,PF,3,3,3,3,3,9,3,4,2,3,12,2,1,2,5,0,,26,2,4,4,3,13,3,2,2,7,2,1,1,2,6,3,2,3,2,10,36,62
FSM,Micronesia,Asia,c,2018,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,,37,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,4,3,3,14,56,93
MDA,Moldova,Eurasia,c,2018,PF,3,3,4,3,3,10,3,3,2,3,11,3,1,1,5,0,,26,2,3,3,4,12,3,3,2,8,1,1,2,2,6,3,2,2,2,9,35,61
MCO,Monaco,Europe,c,2018,F,3,1,0,4,3,7,3,2,2,3,10,2,3,3,8,0,,25,4,4,4,4,16,4,4,4,12,3,4,4,4,15,4,3,3,4,14,57,82
MNG,Mongolia,Asia,c,2018,F,1,2,4,4,3,11,4,4,4,4,16,4,2,3,9,0,,36,3,4,4,3,14,4,4,3,11,3,3,3,3,12,4,3,3,2,12,49,85
MNE,Montenegro,Europe,c,2018,PF,3,3,3,2,3,8,2,2,3,3,10,3,2,2,7,0,,25,2,3,3,3,11,3,3,3,9,2,2,3,3,10,3,3,3,3,12,42,67
MAR,Morocco,Africa,c,2018,PF,5,5,1,2,2,5,2,2,1,1,6,1,1,1,3,0,,14,1,2,2,2,7,1,2,2,5,1,2,2,1,6,2,2,2,1,7,25,39
MOZ,Mozambique,Africa,c,2018,PF,4,4,2,2,2,6,2,2,2,3,9,2,1,2,5,0,,20,2,3,2,2,9,2,3,2,7,2,2,1,2,7,3,2,2,2,9,32,52
MMR,Myanmar,Asia,c,2018,PF,5,5,2,2,1,5,2,3,2,1,8,2,1,1,4,4,,13,2,1,1,2,6,2,2,2,6,0,1,0,0,1,2,1,1,1,5,18,31
NAM,Namibia,Africa,c,2018,F,2,2,4,3,3,10,3,2,3,3,11,3,3,3,9,0,,30,3,4,4,3,14,4,4,4,12,3,3,3,2,11,3,3,2,2,10,47,77
NRU,Nauru,Asia,c,2018,F,2,2,4,4,4,12,4,3,4,4,15,3,3,2,8,0,,35,2,4,4,3,13,3,3,3,9,2,3,3,2,10,4,4,3,3,14,46,81
NPL,Nepal,Asia,c,2018,PF,3,4,3,4,3,10,3,3,2,2,10,3,1,1,5,0,,25,3,2,2,3,10,2,2,2,6,2,1,2,1,6,3,2,2,1,8,30,55
NLD,Netherlands,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,,40,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,4,16,59,99
NZL,New Zealand,Asia,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,,40,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,3,15,58,98
NIC,Nicaragua,Americas,c,2018,PF,5,4,1,1,1,3,1,1,1,3,6,1,1,1,3,0,,12,1,4,3,3,11,2,1,2,5,1,1,2,2,6,3,3,2,2,10,32,44
NER,Niger,Africa,c,2018,PF,4,4,2,2,2,6,2,2,2,2,8,2,2,2,6,0,,20,2,3,3,3,11,2,2,2,6,1,2,1,2,6,2,2,1,1,6,29,49
NGA,Nigeria,Africa,c,2018,PF,3,5,3,3,3,9,3,3,2,2,10,2,2,2,6,0,,25,2,1,3,3,9,2,2,3,7,2,1,0,1,4,1,2,1,1,5,25,50
MKD,North Macedonia,Europe,c,2018,PF,4,3,1,2,3,6,2,2,2,3,9,2,2,2,6,0,,21,2,3,3,3,11,3,3,2,8,2,2,2,2,8,3,3,2,2,10,37,58
NOR,Norway,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,,40,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,100
OMN,Oman,Middle East,c,2018,NF,6,5,0,1,1,2,0,0,1,1,2,0,2,0,2,0,,6,1,2,1,1,5,0,1,2,3,0,1,2,1,4,1,2,1,1,5,17,23
PAK,Pakistan,Asia,c,2018,PF,4,5,2,2,2,6,3,3,1,1,8,1,1,3,5,0,,19,2,1,2,2,7,3,1,2,6,2,1,1,1,5,2,2,1,1,6,24,43
PLW,Palau,Asia,c,2018,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,,37,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,3,3,3,13,55,92
PAN,Panama,Americas,c,2018,F,2,2,4,4,4,12,4,4,4,3,15,4,2,2,8,0,,35,3,4,4,4,15,4,4,3,11,2,2,3,3,10,4,3,3,2,12,48,83
PNG,Papua New Guinea,Asia,c,2018,PF,3,3,3,2,3,8,4,4,2,3,13,2,1,1,4,0,,25,3,3,3,4,13,3,3,3,9,2,1,2,2,7,3,2,2,2,9,38,63
PRY,Paraguay,Americas,c,2018,PF,3,3,3,4,3,10,3,4,3,2,12,2,1,2,5,0,,27,2,4,3,3,12,3,3,2,8,2,1,2,2,7,3,3,2,2,10,37,64
PER,Peru,Americas,c,2018,F,2,3,4,4,3,11,4,4,3,2,13,3,2,2,7,0,,31,3,4,4,4,15,3,3,2,8,2,2,2,2,8,4,3,2,2,11,42,73
PHL,Philippines,Asia,c,2018,PF,3,3,3,3,3,9,3,3,2,3,11,3,2,2,7,0,,27,2,4,4,4,14,3,2,3,8,2,0,0,1,3,3,2,3,2,10,35,62
POL,Poland,Europe,c,2018,F,1,2,4,4,4,12,4,4,4,4,16,3,3,2,8,0,,36,3,4,3,4,14,3,3,4,10,1,3,4,3,11,4,4,3,3,14,49,85
PRT,Portugal,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,3,4,11,0,,39,4,4,4,4,16,4,4,4,12,4,4,3,4,15,4,4,4,3,15,58,97
QAT,Qatar,Middle East,c,2018,NF,6,5,0,1,1,2,0,0,1,1,2,0,2,1,3,0,,7,1,2,2,2,7,1,0,1,2,1,1,2,0,4,1,1,1,1,4,17,24
ROU,Romania,Europe,c,2018,F,2,2,4,4,3,11,4,4,3,3,14,4,3,3,10,0,,35,3,3,4,4,14,4,4,3,11,3,3,3,3,12,4,2,3,3,12,49,84
RUS,Russia,Eurasia,c,2018,NF,7,6,0,0,0,0,1,0,1,1,3,0,1,1,2,0,,5,0,1,1,1,3,1,0,2,3,1,1,0,0,2,2,1,2,2,7,15,20
RWA,Rwanda,Africa,c,2018,NF,6,6,0,1,1,2,0,0,0,1,1,1,2,2,5,0,,8,0,3,1,0,4,0,1,1,2,0,1,0,1,2,2,2,2,1,7,15,23
WSM,Samoa,Asia,c,2018,F,2,2,3,3,3,9,3,3,3,3,12,3,3,3,9,0,,30,3,3,4,4,14,4,3,3,10,4,3,4,3,14,3,3,3,3,12,50,80
SMR,San Marino,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,3,15,4,3,4,11,0,,38,3,4,4,4,15,4,4,4,12,4,4,4,4,16,4,4,4,4,16,59,97
STP,Sao Tome and Principe,Africa,c,2018,F,2,2,4,4,3,11,4,4,3,3,14,4,2,3,9,0,,34,3,4,4,4,15,4,3,3,10,3,3,3,3,12,4,3,2,2,11,48,82
SAU,Saudi Arabia,Middle East,c,2018,NF,7,7,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,0,0,0,1,2,3,0,0,0,0,1,1,0,0,2,0,1,0,1,2,7,7
SEN,Senegal,Africa,c,2018,F,2,2,4,3,3,10,3,4,3,3,13,3,2,3,8,0,,31,2,4,4,3,13,3,4,3,10,2,3,3,2,10,3,3,3,2,11,44,75
SRB,Serbia,Europe,c,2018,F,3,2,3,3,3,9,3,3,3,3,12,3,2,2,7,0,,28,2,4,3,4,13,4,3,3,10,2,2,3,2,9,4,3,3,3,13,45,73
SYC,Seychelles,Africa,c,2018,PF,3,3,3,4,3,10,3,3,3,2,11,3,2,2,7,0,,28,2,4,3,3,12,3,3,3,9,2,3,3,3,11,3,3,2,3,11,43,71
SLE,Sierra Leone,Africa,c,2018,PF,3,3,3,3,4,10,2,3,3,3,11,3,1,3,7,0,,28,2,4,3,3,12,2,3,2,7,2,2,3,2,9,3,3,2,2,10,38,66
SGP,Singapore,Asia,c,2018,PF,4,4,1,2,1,4,2,2,2,2,8,2,3,2,7,0,,19,2,3,2,3,10,2,1,1,4,1,2,2,2,7,3,3,3,3,12,33,52
SVK,Slovakia,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,3,15,4,3,2,9,0,,36,3,4,4,4,15,4,4,4,12,3,3,3,3,12,4,4,3,3,14,53,89
SVN,Slovenia,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,3,4,11,0,,39,3,3,4,4,14,4,4,4,12,3,4,4,3,14,4,4,3,3,14,54,93
SLB,Solomon Islands,Asia,c,2018,F,3,2,3,3,3,9,4,4,2,3,13,2,3,1,6,0,,28,3,4,4,3,14,3,3,3,9,3,2,2,2,9,3,3,3,3,12,44,72
SOM,Somalia,Africa,c,2018,NF,7,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,1,1,0,1,1,3,1,1,0,2,0,0,0,0,0,0,1,0,0,1,6,7
ZAF,South Africa,Africa,c,2018,F,2,2,4,4,4,12,3,3,3,4,13,2,2,3,7,0,,32,3,4,4,4,15,4,4,4,12,3,2,2,2,9,3,3,2,2,10,46,78
KOR,South Korea,Asia,c,2018,F,2,2,4,4,3,11,3,4,3,3,13,4,3,2,9,0,,33,3,4,3,4,14,4,3,4,11,4,3,3,3,13,4,3,3,3,13,51,84
SSD,South Sudan,Africa,c,2018,NF,7,7,0,0,1,1,1,0,0,0,1,0,0,0,0,4,,-2,0,1,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,4,2
ESP,Spain,Europe,c,2018,F,1,1,4,4,3,11,4,4,4,4,16,4,3,4,11,0,,38,3,4,4,4,15,3,4,4,11,4,4,4,3,15,4,4,4,3,15,56,94
LKA,Sri Lanka,Asia,c,2018,PF,3,4,3,3,2,8,3,3,2,2,10,3,2,2,7,1,,24,2,2,2,2,8,2,3,3,8,2,2,2,1,7,2,2,2,2,8,31,55
SDN,Sudan,Africa,c,2018,NF,7,7,1,1,0,2,1,1,1,1,4,1,0,0,1,3,,4,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,4,8
SUR,Suriname,Americas,c,2018,F,2,2,4,4,4,12,4,4,3,3,14,4,2,2,8,0,,34,3,4,4,4,15,4,4,3,11,2,1,3,2,8,3,2,3,2,10,44,78
SWE,Sweden,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,,40,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,100
CHE,Switzerland,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,3,15,4,4,4,12,0,,39,4,3,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,3,15,57,96
SYR,Syria,Middle East,c,2018,NF,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,-3,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1
TWN,Taiwan,Asia,c,2018,F,1,1,4,4,4,12,4,4,3,4,15,4,3,3,10,0,,37,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,3,4,3,14,56,93
TJK,Tajikistan,Eurasia,c,2018,NF,7,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,1,0,0,1,1,2,0,1,1,2,1,0,0,1,2,1,1,1,1,4,10,11
TZA,Tanzania,Africa,c,2018,PF,4,4,3,2,2,7,2,2,3,2,9,2,2,2,6,0,,22,1,3,2,1,7,2,2,2,6,2,2,2,2,8,3,2,2,2,9,30,52
THA,Thailand,Asia,c,2018,NF,6,5,0,0,0,0,1,1,0,1,3,0,2,1,3,0,,6,1,3,1,1,6,1,1,2,4,1,1,1,2,5,3,2,3,2,10,25,31
TLS,Timor-Leste,Asia,c,2018,F,2,3,4,4,3,11,4,4,3,3,14,3,2,2,7,0,,32,3,3,4,3,13,3,3,2,8,1,1,3,2,7,3,2,2,2,9,37,69
TGO,Togo,Africa,c,2018,PF,4,4,2,2,2,6,2,1,2,2,7,2,1,2,5,0,,18,2,3,2,2,9,1,2,3,6,2,2,2,1,7,2,2,1,2,7,29,47
TON,Tonga,Asia,c,2018,F,2,2,3,3,3,9,4,4,3,3,14,3,2,2,7,0,,30,2,4,3,3,12,3,3,3,9,3,3,3,3,12,4,3,3,2,12,45,75
TTO,Trinidad and Tobago,Americas,c,2018,F,2,2,4,4,3,11,3,4,3,3,13,4,2,3,9,0,,33,4,3,4,4,15,4,4,3,11,3,2,2,2,9,4,3,3,3,13,48,81
TUN,Tunisia,Africa,c,2018,F,2,3,4,4,2,10,4,4,3,3,14,3,1,2,6,0,,30,2,3,3,4,12,3,3,3,9,2,2,3,2,9,3,2,3,2,10,40,70
TUR,Turkey,Europe,c,2018,NF,5,6,2,3,1,6,2,1,3,1,7,2,1,0,3,0,,16,1,2,1,1,5,1,1,1,3,1,0,0,1,2,1,1,2,2,6,16,32
TKM,Turkmenistan,Eurasia,c,2018,NF,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,3,4,4
TUV,Tuvalu,Asia,c,2018,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,,37,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,3,3,14,57,94
UGA,Uganda,Africa,c,2018,PF,6,4,1,1,1,3,1,1,1,2,5,1,1,1,3,0,,11,2,3,3,3,11,1,1,2,4,1,1,1,1,4,2,2,1,2,7,26,37
UKR,Ukraine,Eurasia,c,2018,PF,3,3,4,3,2,9,3,3,2,3,11,3,1,2,6,0,,26,2,3,3,3,11,3,3,3,9,1,2,1,2,6,3,2,3,2,10,36,62
ARE,United Arab Emirates,Middle East,c,2018,NF,7,6,0,1,0,1,0,0,1,1,2,0,2,0,2,0,,5,0,1,1,1,3,1,0,1,2,0,1,1,1,3,1,1,1,1,4,12,17
GBR,United Kingdom,Europe,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,,40,4,4,3,3,14,4,4,4,12,4,4,3,3,14,4,4,3,3,14,54,94
USA,United States,Americas,c,2018,F,2,1,3,4,3,10,4,4,3,3,14,3,3,3,9,0,,33,4,4,4,4,16,3,4,3,10,3,3,3,3,12,4,4,4,3,15,53,86
URY,Uruguay,Americas,c,2018,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,,40,4,4,4,4,16,4,4,4,12,4,3,4,4,15,4,4,4,3,15,58,98
UZB,Uzbekistan,Eurasia,c,2018,NF,7,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,4,6,7
VUT,Vanuatu,Asia,c,2018,F,2,2,3,4,3,10,4,4,4,3,15,3,2,3,8,0,,33,3,4,4,4,15,4,4,3,11,3,2,3,3,11,4,3,2,2,11,48,81
VEN,Venezuela,Americas,c,2018,NF,6,5,2,0,0,2,1,1,1,3,6,0,0,0,0,0,,8,1,3,2,2,8,0,1,1,2,0,0,0,1,1,2,1,3,1,7,18,26
VNM,Vietnam,Asia,c,2018,NF,7,5,0,0,0,0,0,0,0,1,1,0,1,1,2,0,,3,1,1,1,1,4,1,0,0,1,1,1,1,1,4,2,1,3,2,8,17,20
YEM,Yemen,Middle East,c,2018,NF,7,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,1,1,2,1,1,5,1,1,1,3,1,0,0,1,2,0,1,1,0,2,12,13
ZMB,Zambia,Africa,c,2018,PF,4,4,2,2,2,6,2,2,3,3,10,2,2,2,6,0,,22,1,3,3,3,10,2,2,3,7,2,2,2,2,8,3,2,2,1,8,33,55
ZWE,Zimbabwe,Africa,c,2018,NF,6,5,0,1,1,2,2,2,1,1,6,0,1,1,2,0,,10,1,3,2,2,8,1,2,1,4,2,0,0,1,3,2,1,1,1,5,20,30
AFG,Afghanistan,Asia,c,2017,NF,6,6,1,0,1,2,2,1,1,2,6,1,1,0,2,0,0.0,10,2,1,1,2,6,2,1,1,4,1,0,0,1,2,0,1,0,1,2,14,24
ALB,Albania,Europe,c,2017,PF,3,3,3,3,2,8,3,4,3,3,13,3,2,2,7,0,0.0,28,2,4,3,4,13,4,3,2,9,2,2,2,3,9,3,2,2,2,9,40,68
DZA,Algeria,Africa,c,2017,NF,6,5,1,2,1,4,1,1,1,1,4,1,1,1,3,0,0.0,11,1,1,2,3,7,2,1,2,5,1,1,1,2,5,2,2,2,1,7,24,35
AND,Andorra,Europe,c,2017,F,1,1,4,4,4,12,4,4,4,3,15,4,4,4,12,0,0.0,39,3,4,4,4,15,4,4,3,11,4,4,4,3,15,4,3,4,4,15,56,95
AGO,Angola,Africa,c,2017,NF,6,6,0,2,1,3,2,1,1,2,6,1,0,0,1,0,0.0,10,1,1,2,1,5,1,1,1,3,1,1,0,1,3,1,1,1,0,3,14,24
ARG,Argentina,Americas,c,2017,F,2,2,4,4,3,11,4,3,4,3,14,3,2,3,8,0,0.0,33,2,4,4,4,14,4,4,3,11,2,3,2,3,10,4,3,4,3,14,49,82
ARM,Armenia,Eurasia,c,2017,PF,5,4,1,2,2,5,2,2,1,2,7,1,1,2,4,0,0.0,16,2,2,2,3,9,2,2,2,6,1,1,1,2,5,3,2,2,2,9,29,45
AUS,Australia,Asia,c,2017,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,0.0,40,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,3,15,58,98
