CAMEO_Code,Country/Territory,Region,C/T,Edition,Status,PR rating,CL rating,A1,A2,A3,A,B1,B2,B3,B4,B,C1,C2,C3,C,Add Q,Add A,PR,D1,D2,D3,D4,D,E1,E2,E3,E,F1,F2,F3,F4,F,G1,G2,G3,G4,G,CL,Total
NPL,Nepal,Asia,c,2022,PF,3,4,3,4,3,10,3,3,2,2,10,3,1,1,5,0,,25,2,2,3,3,10,3,2,2,7,3,1,2,1,7,3,2,2,1,8,32,57
NLD,Netherlands,Europe,c,2022,F,1,1,4,4,4,12,4,4,4,4,16,4,4,3,11,0,,39,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,3,15,58,97
NZL,New Zealand,Asia,c,2022,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,,40,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,4,16,59,99
NIC,Nicaragua,Americas,c,2022,NF,7,5,0,0,0,0,0,0,1,2,3,0,1,1,2,0,,5,0,2,2,1,5,0,0,2,2,1,0,1,1,3,2,2,2,2,8,18,23
NER,Niger,Africa,c,2022,PF,4,4,3,3,2,8,2,2,2,3,9,2,2,2,6,0,,23,2,2,3,3,10,2,2,2,6,1,2,1,2,6,2,2,1,1,6,28,51
NGA,Nigeria,Africa,c,2022,PF,4,5,2,2,2,6,3,3,1,2,9,2,1,2,5,0,,20,2,1,3,3,9,1,2,3,6,2,1,0,1,4,1,1,1,1,4,23,43
MKD,North Macedonia,Europe,c,2022,PF,3,3,3,3,3,9,4,3,2,3,12,3,2,2,7,0,,28,3,3,3,3,12,3,3,2,8,2,2,3,2,9,3,3,2,2,10,39,67
NOR,Norway,Europe,c,2022,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,,40,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,100
OMN,Oman,Middle East,c,2022,NF,6,5,0,1,1,2,0,0,1,1,2,0,2,0,2,0,,6,1,2,1,1,5,1,1,2,4,0,1,2,1,4,1,2,1,1,5,18,24
PAK,Pakistan,Asia,c,2022,PF,5,5,1,2,2,5,2,2,1,1,6,1,1,2,4,0,,15,1,1,2,2,6,3,1,2,6,1,1,1,1,4,2,2,1,1,6,22,37
PLW,Palau,Asia,c,2022,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,0,,37,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,3,3,3,13,55,92
